bin,rows,events,mean_predicted,observed_rate,min_predicted,max_predicted,bin_low,bin_high,standard_error,residual,z,population,variant
13,194861,610,0.003143625582698235,0.0031304365676046004,0.00314361350099272,0.004032998050135993,0.00314361350099272,0.004381776304701983,0.0001268145949450756,-1.3189015093634498e-05,-0.10400234373138806,train (in-sample),isotonic
14,229042,1409,0.005687347281156097,0.006151710166694318,0.004381776304701983,0.009289363678588016,0.004381776304701983,0.009289363678588016,0.0001571298852273141,0.00046436288553822116,2.955280498464339,train (in-sample),isotonic
0,31444,0,0.0,0.0,0.0,0.0,0.0,1.7613386173491855e-05,0.0,0.0,,holdout (in-time),isotonic
1,56775,1,1.7613386173491855e-05,1.7613386173491855e-05,1.7613386173491855e-05,1.7613386173491855e-05,1.7613386173491855e-05,2.4932526350563786e-05,1.761323105712257e-05,0.0,0.0,holdout (in-time),isotonic
2,160433,4,2.4932526350563786e-05,2.4932526350563786e-05,2.4932526350563786e-05,2.4932526350563786e-05,2.4932526350563786e-05,4.117542101867992e-05,1.246610776659565e-05,0.0,0.0,holdout (in-time),isotonic
3,110399,5,4.529026531037419e-05,4.529026531037419e-05,4.117542101867992e-05,5.327650506126798e-05,4.117542101867992e-05,0.00014018691588785047,2.02539637213242e-05,0.0,0.0,holdout (in-time),isotonic
4,42800,6,0.00014018691588785047,0.00014018691588785047,0.00014018691588785047,0.00014018691588785047,0.00014018691588785047,0.00017064430413690548,5.72270570925047e-05,0.0,0.0,holdout (in-time),isotonic
5,41021,7,0.00017064430413690548,0.00017064430413690548,0.00017064430413690548,0.00017064430413690548,0.00017064430413690548,0.00017514611727005586,6.449198118616583e-05,0.0,0.0,holdout (in-time),isotonic
6,159854,28,0.00017515983334792998,0.00017515983334792998,0.00017514611727005586,0.000175530981218185,0.00017514611727005586,0.0003391333837685545,3.3099197846004014e-05,0.0,0.0,holdout (in-time),isotonic
7,79300,27,0.00034047919293820933,0.00034047919293820933,0.0003391333837685545,0.00037965072133637056,0.0003391333837685545,0.0006295094668539054,6.551409529011323e-05,0.0,0.0,holdout (in-time),isotonic
8,20651,13,0.0006295094668539054,0.0006295094668539054,0.0006295094668539054,0.0006295094668539054,0.0006295094668539054,0.0006864090998234948,0.00017453954929423396,0.0,0.0,holdout (in-time),isotonic
9,50990,35,0.0006864090998234948,0.0006864090998234948,0.0006864090998234948,0.0006864090998234948,0.0006864090998234948,0.0008362676056338028,0.00011598448733193073,0.0,0.0,holdout (in-time),isotonic
10,46621,39,0.0008365328929023401,0.0008365328929023401,0.0008362676056338028,0.000846740050804403,0.0008362676056338028,0.000900133803673519,0.00013389642819282375,0.0,0.0,holdout (in-time),isotonic
11,91319,114,0.0012483710947338452,0.0012483710947338452,0.000900133803673519,0.0016691794098643118,0.000900133803673519,0.0017727877086718866,0.00011684766251123649,0.0,0.0,holdout (in-time),isotonic
12,52004,108,0.002076763325898008,0.002076763325898008,0.0017727877086718866,0.0027072758037225042,0.0017727877086718866,0.00314361350099272,0.00019962902965386587,0.0,0.0,holdout (in-time),isotonic
13,48352,152,0.00314361350099272,0.00314361350099272,0.00314361350099272,0.00314361350099272,0.00314361350099272,0.004381776304701983,0.0002545796289132025,0.0,0.0,holdout (in-time),isotonic
14,58160,345,0.005762543995103598,0.00593191196698762,0.004381776304701983,0.009289363678588016,0.004381776304701983,0.009289363678588016,0.0003138629036927501,0.00016936797188402217,0.5396240520664449,holdout (in-time),isotonic
0,344304,5,1.2888003155023681e-05,1.4522050281146894e-05,3.911645762855187e-07,2.060647602775134e-05,3.911645762855187e-07,2.0606538600986828e-05,6.118133991981558e-06,1.6340471261232128e-06,0.26708259875720264,test (out-of-time),raw
1,344304,9,2.6401621169090442e-05,2.6139690506064407e-05,2.0606554244295694e-05,3.1937008316162974e-05,2.0606538600986828e-05,3.193702577846125e-05,8.75666086576461e-06,-2.6193066302603434e-07,-0.029912162528765836,test (out-of-time),raw
2,344304,16,3.752486111084629e-05,4.647056089967006e-05,3.193703741999343e-05,4.3211726733716205e-05,3.193702577846125e-05,4.3211742740822964e-05,1.043951599572516e-05,8.945699788823768e-06,0.8569075225792949,test (out-of-time),raw
3,344303,24,4.9224553015453094e-05,6.970604380443969e-05,4.321176675148308e-05,5.5484375479863957e-05,4.3211742740822964e-05,5.548443004954606e-05,1.1956657746241687e-05,2.0481490788986596e-05,1.7129779260784228,test (out-of-time),raw
4,344304,29,6.22501987803625e-05,8.422789163065198e-05,5.548443004954606e-05,6.92876783432439e-05,5.548443004954606e-05,6.928774382686242e-05,1.3445774373296253e-05,2.197769285028948e-05,1.6345427373776178,test (out-of-time),raw
5,344304,42,7.692022319119357e-05,0.0001219852223616339,6.928774382686242e-05,8.491851622238755e-05,6.928774382686242e-05,8.491857443004849e-05,1.4946259906100455e-05,4.506499917044033e-05,3.0151355224357252,test (out-of-time),raw
6,344304,30,9.383586610015146e-05,8.713230168688136e-05,8.49185889819637e-05,0.00010318995191482827,8.491857443004849e-05,0.00010319001303287225,1.650794533891653e-05,-6.703564413270102e-06,-0.4060810885693228,test (out-of-time),raw
7,344304,55,0.00011339925854792168,0.00015974255309261583,0.00010319005377823487,0.00012416424578987062,0.00010319001303287225,0.0001241642923559994,1.814719256382552e-05,4.634329454469415e-05,2.5537445740821934,test (out-of-time),raw
8,344303,74,0.0001361760944305356,0.0002149269683970224,0.00012416436220519245,0.00014898089284542948,0.0001241642923559994,0.00014898103836458176,1.988613857647515e-05,7.875087396648679e-05,3.9600887655307444,test (out-of-time),raw
9,344303,99,0.00016340968730548354,0.00028753743069331373,0.00014898103836458176,0.00017871959425974637,0.00014898103836458176,0.0001787197688827291,2.1783768307316363e-05,0.0001241277433878302,5.698175891181338,test (out-of-time),raw
