vintage,loan_age,at_risk,observed,predicted,residual,z
2000,35,9301,0.0027953983442640575,0.0019001281375137324,0.0008952702067503251,1.982624687911345
2000,36,8701,0.003218020917135961,0.0019293368747196878,0.0012886840424162734,2.7393426386799202
2000,37,8127,0.002337886058816291,0.0019773044155067714,0.0003605816433095198,0.7317483750295245
2000,38,7661,0.002480093982508811,0.002022905669083976,0.000457188313424835,0.8906144746837088
2000,39,7221,0.0023542445644647554,0.002060084887175088,0.0002941596772896675,0.5512988137718525
2000,40,6840,0.0021929824561403508,0.0020930171980051574,9.996525813519338e-05,0.18090297682967563
2000,41,6464,0.002165841584158416,0.00214342464236232,2.24169417960959e-05,0.038970759217734
2000,42,6142,0.00244220123738196,0.002189541293606472,0.000252659943775488,0.4236338993608621
2000,43,5829,0.0027448962086121117,0.002228505420969509,0.0005163907876426029,0.8360901748348442
2000,44,5564,0.0014378145219266715,0.002272215074232619,-0.0008344005523059474,-1.3071860118590501
2000,45,5369,0.0022350530825107095,0.0023167190582707967,-8.166597576008718e-05,-0.12446717269638706
2000,46,5161,0.002906413485758574,0.0023502579870688435,0.0005561554986897306,0.8251185465444841
2000,47,4963,0.002619383437437034,0.0023793725903283242,0.0002400108471087097,0.34704761970023035
2000,48,4781,0.0025099351600083664,0.0024248178548468436,8.511730516152279e-05,0.11966436992256858
2000,49,4626,0.0023778642455685255,0.0024592086000801185,-8.134435451159295e-05,-0.11170361163484657
2000,50,4464,0.002688172043010753,0.0025031140626270505,0.00018505798038370236,0.2474422276566503
2000,51,4325,0.0032369942196531793,0.002543753694449861,0.0006932405252033183,0.9050916174798723
2000,52,4188,0.0031041069723018147,0.0025733756832814936,0.0005307312890203211,0.6779317184634669
2000,53,4048,0.0024703557312252965,0.002601660933041857,-0.0001313052018165604,-0.1639994967373245
2000,54,3941,0.0015224562293834052,0.00264109115632605,-0.001118634926942645,-1.3682774241088267
2000,55,3840,0.0020833333333333333,0.002688714145600102,-0.0006053808122667686,-0.7244469378693723
2000,56,3725,0.002147651006711409,0.0027227235221145393,-0.0005750725154031302,-0.6735595790796355
2000,57,3628,0.002205071664829107,0.002753021069505209,-0.0005479494046761019,-0.6298947177067942
