bin,rows,events,mean_predicted,observed_rate,min_predicted,max_predicted,bin_low,bin_high,standard_error,residual,z,population,variant
15,484587,493,0.000902929748376483,0.0010173611755990152,0.0007986144955613708,0.0010202821654468753,0.0007986144955613708,0.0010202827099234507,4.314643761557355e-05,0.00011443142722253222,2.652163968717283,train (in-sample),platt
16,484583,633,0.0011709233724606647,0.001306277768720735,0.0010202830729078333,0.0013440496350123634,0.0010202827099234507,0.0013440516195077589,4.912762151845236e-05,0.0001353543962600704,2.7551587493245777,train (in-sample),platt
17,484583,957,0.0015861148592188883,0.001974893877828979,0.0013440540450021202,0.0018761618948096778,0.0013440516195077589,0.001876162131371563,5.71660962036996e-05,0.0003887790186100906,6.800867024831583,train (in-sample),platt
18,484583,1317,0.002343411157809209,0.002717800665727027,0.0018761626833492927,0.0029728958315460275,0.001876162131371563,0.0029728971090710295,6.945934716304462e-05,0.0003743895079178182,5.390052213404759,train (in-sample),platt
19,484583,2456,0.005310684923380288,0.005068275197437797,0.0029729043483793524,0.06200245776568349,0.0029728971090710295,0.06200245776568349,0.00010440827180561643,-0.00024240972594249087,-2.3217482844060533,train (in-sample),platt
0,121353,2,1.630916680574159e-05,1.6480845137738663e-05,8.392865136133705e-07,2.753255613287508e-05,8.392865136133705e-07,2.7532863882560983e-05,1.159276646725761e-05,1.716783319970745e-07,0.014809090865580665,holdout (in-time),platt
1,121353,1,3.706098453729368e-05,8.240422568869332e-06,2.7532995775283505e-05,4.6366132505171775e-05,2.7532863882560983e-05,4.6366150133065806e-05,1.7475321314603913e-05,-2.882056196842435e-05,-1.649214995797494,holdout (in-time),platt
2,121353,6,5.563728978725124e-05,4.944253541321599e-05,4.6366176574906846e-05,6.500210571319625e-05,4.6366150133065806e-05,6.500211156645917e-05,2.1411428493668525e-05,-6.194754374035246e-06,-0.28931999450046353,holdout (in-time),platt
3,121352,8,7.505954677706304e-05,6.592392379194409e-05,6.500216424582535e-05,8.554372483736498e-05,6.500211156645917e-05,8.554417412274886e-05,2.4869279318192716e-05,-9.13562298511895e-06,-0.36734570665406996,holdout (in-time),platt
4,121352,4,9.669709375781085e-05,3.2961961895972045e-05,8.55442864440948e-05,0.00010822384526762258,8.554417412274886e-05,0.00010822404893872208,2.822683880078889e-05,-6.373513186183882e-05,-2.2579620874887887,holdout (in-time),platt
5,121354,8,0.00012072224899691524,6.59228373189182e-05,0.00010822404893872208,0.00013396253846083525,0.00010822404893872208,0.00013396259070553524,3.153845357476966e-05,-5.479941167799703e-05,-1.737542760239704,holdout (in-time),platt
6,121351,17,0.0001487074288244312,0.00014008949246400936,0.00013396279968433514,0.00016424190883433643,0.00013396259070553524,0.0001642420536200832,3.500357150239921e-05,-8.617936360421832e-06,-0.24620163002027218,holdout (in-time),platt
7,121354,15,0.00018139331402362892,0.00012360531997297164,0.0001642420536200832,0.0001995095426173104,0.0001642420536200832,0.00019950988932960524,3.865842863589951e-05,-5.778799405065728e-05,-1.4948355660010821,holdout (in-time),platt
