vintage,loan_age,at_risk,cohort_size,defaults,prepayments,censored,hazard_default,hazard_prepay,survival,survival_entering,cif_default,cif_prepay,naive_default,naive_prepay,naive_censored,not_yet_exited_share,km_default,split
2000,11,40460,49995,47,1903,3,0.0011616411270390509,0.047034107760751356,0.7809068431549011,0.8204489969890236,0.0057038120001357065,0.213389344844963,0.0055605560556055604,0.20776077607760776,0.0013601360136013601,0.7853185318531853,0.006281848495595432,train
2000,12,38568,49995,45,2026,0,0.0011667703795892968,0.052530595312175896,0.7389742028268105,0.7809068431549011,0.00661495097394743,0.2544108461992419,0.00646064606460646,0.24828482848284827,0.0013601360136013601,0.7438943894389438,0.007441289400431095,train
2000,13,36537,49995,33,1928,2,0.000903194022497742,0.05276842652653475,0.6993122598171662,0.7389742028268105,0.007282388056720639,0.2934053521261131,0.0071207120712071205,0.28684868486848686,0.0014001400140014,0.7046304630463046,0.008337762494822654,train
2000,14,34624,49995,34,1848,1,0.0009819778188539742,0.05337338262476895,0.6613008898721595,0.6993122598171662,0.007969097184313744,0.3307300129435265,0.007800780078007801,0.32381238123812384,0.00142014201420142,0.666966696669667,0.009311552815847834,train
2000,15,32789,49995,42,1708,2,0.0012809173808289364,0.05209064015371009,0.6260062313807057,0.6613008898721595,0.008816168988108636,0.3651775996311854,0.00864086408640864,0.35797579757975795,0.00146014601460146,0.6319231923192319,0.01058054286683241,train
2000,16,31088,49995,33,1547,1,0.0010615028306742152,0.04976196603190942,0.594190423172345,0.6260062313807057,0.009480676374738952,0.3963289004529157,0.0093009300930093,0.38891889188918893,0.00148014801480148,0.6003000300030004,0.011630814421303426,train
2000,17,29545,49995,38,1557,1,0.0012861736334405145,0.05269927229649687,0.5621127882100878,0.594190423172345,0.010244908430266084,0.4276423033596458,0.010061006100610061,0.42006200620062006,0.0015001500150015,0.5683768376837683,0.012902028807899812,train
2000,18,27963,49995,43,1454,2,0.0015377463076207845,0.05199728212280513,0.5320200641121547,0.5621127882100878,0.01110929529480257,0.4568706405930424,0.010921092109210922,0.44914491449144917,0.0015401540154015402,0.5383938393839384,0.014419935068360479,train
2000,19,26482,49995,38,1422,2,0.0014349369382977116,0.05369685069103542,0.5026888469229792,0.5320200641121547,0.011872710536712617,0.4854384425403079,0.01168116811681168,0.4775877587758776,0.0015801580158015802,0.5091509150915092,0.015834180309180712,train
2000,20,25052,49995,43,1398,0,0.001716429825961999,0.05580392783011336,0.47377400465824937,0.5026888469229792,0.012735540666749664,0.5134904546750008,0.012541254125412541,0.5055505550555055,0.0015801580158015802,0.4803280328032803,0.017523431875790307,train
2000,21,23625,49995,33,1393,1,0.0013968253968253967,0.05896296296296296,0.445177106006708,0.47377400465824937,0.01339732022881198,0.5414255737644798,0.013201320132013201,0.5334133413341334,0.0016001600160016002,0.4517851785178518,0.018895780097932025,train
