loan_age,at_risk,predicted_default,observed_default,predicted_prepayment,observed_prepayment
57,86875,0.0009345430653960517,0.000897841726618705,0.010282052146381424,0.010279136690647481
58,85922,0.0009510175027599727,0.0007797770070529084,0.010394627489418815,0.011091455040618235
59,84924,0.000968054495312954,0.0009420187461730489,0.010531009083192112,0.011292449719749423
60,83895,0.0009843562286410423,0.001072769533345253,0.010680671097340841,0.010358185827522499
61,82944,0.0010000715040586242,0.0009283371913580247,0.01085125763367325,0.010597511574074073
62,82004,0.0010168633981262846,0.001243841763816399,0.011033904109926896,0.010816545534364176
63,81047,0.00103165538977931,0.0010734512073241453,0.011233332076086464,0.010894912828358853
64,80111,0.0010485167054678948,0.0010610278238943466,0.011442477475745304,0.010497934116413477
65,79212,0.001062897256386144,0.0008963288390647882,0.01166987703774476,0.010213099025400192
66,78354,0.0010780564440416454,0.0010975827653980652,0.011903542693851743,0.010541899583939557
67,77473,0.0010936171399220944,0.0009938946471674003,0.012140796107713826,0.011797658539103946
68,76499,0.0011097838699120198,0.0011372697682322645,0.012385130868535418,0.011764859671368253
69,75528,0.0011242525897068444,0.0012048511810189599,0.012636684189121861,0.011823429721427815
70,74559,0.0011373114321334735,0.001059563567107928,0.012891521863810483,0.013774326372403063
71,73479,0.001149330324972358,0.0011840117584616013,0.013140853850429495,0.013854298507056438
72,72388,0.0011602938488202885,0.0011880422169420347,0.013379258757000391,0.013579598828535116
73,71345,0.0011705744196058609,0.0010652463382157123,0.013619121436498108,0.014731235545588339
74,70238,0.0011778797304968314,0.0014379680514821037,0.013833414702011205,0.014109171673453116
75,69165,0.0011853566006476948,0.0011855707366442564,0.01405446282604272,0.014472637894889033
76,68085,0.0011922588070896536,0.001086876698244841,0.014270985147364114,0.015216273775427775
77,66978,0.0011993921059673413,0.0010152587416763714,0.014479018993577442,0.014377855415210965
78,65959,0.0012047971299597822,0.0012431965311784593,0.014677353643856618,0.015191255173668492
79,64880,0.0012091602549506141,0.001217632552404439,0.014872751882584431,0.015243526510480887
80,63823,0.0012113982280659993,0.0012221299531516852,0.015068957662189396,0.014117167792175235
81,62845,0.0012117812814692243,0.0010979393746519215,0.015260385773126509,0.014241387540774923
82,61883,0.0012116196742584069,0.0013574002553205242,0.015453860071905986,0.014915243281676713
83,60877,0.0012119722327365418,0.0012484189431148053,0.0156336096982621,0.014258258455574355
84,59934,0.001210063279392283,0.001401541695865452,0.01581410329871739,0.015216738412253478
85,58939,0.0012085148524930774,0.001001034968357115,0.015995028895559996,0.01679702743514481
86,57897,0.0012102198248960614,0.0012263156985681469,0.01617853042466808,0.015665751247905764
87,56932,0.001211069239539815,0.0012646666198271623,0.01636737316877986,0.017494554907609077
88,55866,0.0012107685679792798,0.00105609852146207,0.016562597806001764,0.017559875416174417
89,54827,0.001211020828806631,0.001021394568369599,0.016768108611452903,0.017637295493096467
90,53803,0.0012110853832738877,0.0013753879895173132,0.016966028996205567,0.017582662676802408
91,52783,0.0012119875327533983,0.0010988386412291837,0.017172905137772785,0.016937271469980864
92,51827,0.0012149388630884998,0.0010226329905261736,0.017384517738734475,0.018503868639898124
93,50817,0.0012190394988715817,0.0011216718814569928,0.017605820393010476,0.017769644016766045
94,49859,0.0012216965706698874,0.0013839026053470787,0.017844193726762526,0.01903367496339678
95,48844,0.0012245324368002823,0.0013921873720416018,0.01808813776437388,0.019592989927114897
96,47820,0.001229767806622862,0.0014219991635299038,0.018353298389718414,0.019113341698034296
97,46837,0.0012325547770111083,0.00134509041996712,0.01863820699066061,0.019429083843969512
98,45865,0.001237105661739177,0.001504415131363785,0.018945860658281095,0.01960100294342091
99,44899,0.00124447487237055,0.001314060446780552,0.0192507918828112,0.018552751731664402
100,44007,0.0012479144042685357,0.0010680119071965824,0.019558441818150522,0.020042266003135866
101,43077,0.0012556726978383529,0.001532140121178355,0.019871911769744614,0.018664252385263598
102,42206,0.0012605827824843487,0.0013268255698241957,0.020182609560083144,0.01933374401743828
103,41335,0.0012638527736969875,0.0011370509253659127,0.02048600577242137,0.01976533204306278
104,40470,0.0012671576880328664,0.0010625154435384234,0.020767755843858916,0.020286632073140597
105,39606,0.0012687675236279197,0.0013886784830581225,0.021016725785536365,0.01843155077513508
106,38820,0.001267939596174378,0.00115919629057187,0.021237519044167683,0.020865533230293665
107,37964,0.001268522047389309,0.0013433779369929407,0.02140817525226291,0.021283321040986198
108,37107,0.0012652082461592263,0.001266607378661708,0.021542471888661777,0.021047241760314764
109,36278,0.0012603484034798974,0.0008545123766470037,0.0216447621023022,0.019378135509123987
110,35543,0.0012528126194292924,0.0011253974059589793,0.021681539649032716,0.01969445460428214
111,34804,0.0012409673292111602,0.0010343638662222733,0.021669347369704762,0.019509251810136765
112,34089,0.0012263880733949582,0.0010560591393118015,0.021576694685953156,0.018979729531520433
113,33406,0.0012078763821450917,0.0013171286595222416,0.02141707076696583,0.01873914865593007
114,32737,0.0011836834889538696,0.0011607661056297156,0.021180781055097218,0.019763570272169104
115,32053,0.0011558077031788155,0.0007175615387015256,0.020863522172917592,0.018251021745234457
116,31445,0.0011258488095174679,0.0013356654476069328,0.020457306557609217,0.019080934965813326
117,30802,0.0010913160789961685,0.0012986169729238362,0.01997905177532577,0.019641581715473023
118,30158,0.0010553944687519484,0.0011273957158962795,0.01943625012331897,0.022017375157503814
119,29460,0.0010173470120905968,0.0012219959266802445,0.01881256961097431,0.028139850644942295
120,28595,0.000979753301466831,0.0012589613568805736,0.018117490791895466,0.026857842280118904
